epoch,accuracy,auc,false_negatives,false_positives,loss,mean_absolute_error,mean_squared_error,precision,recall,root_mean_squared_error,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_mean_absolute_error,val_mean_squared_error,val_precision,val_recall,val_root_mean_squared_error,val_true_negatives,val_true_positives
21,0.906007707118988,0.9007882475852966,475936.0,2686250.0,0.2563208043575287,0.11744141578674316,0.10027477890253067,0.19589097797870636,0.5789443850517273,0.31666189432144165,25740212.0,654404.0,0.9151618480682373,0.8999464511871338,21394.0,131968.0,0.23312270641326904,0.11648781597614288,0.10185922682285309,0.19311289489269257,0.5961719751358032,0.3191539943218231,1248654.0,31584.0
22,0.9064881205558777,0.9008680582046509,474888.0,2687070.0,0.25546327233314514,0.1173788532614708,0.10029469430446625,0.1960950493812561,0.5798715353012085,0.31669336557388306,25739392.0,655452.0,0.9157533645629883,0.9003523588180542,21395.0,131815.0,0.23176006972789764,0.11654648929834366,0.10181782394647598,0.19328877329826355,0.5961531400680542,0.31908905506134033,1248807.0,31583.0
23,0.9071325659751892,0.9012873768806458,471831.0,2687893.0,0.25381314754486084,0.11719615757465363,0.10029356181621552,0.1967812031507492,0.5825760364532471,0.3166915774345398,25738568.0,658509.0,0.9159207344055176,0.8991174101829529,20929.0,132259.0,0.23092351853847504,0.11622221767902374,0.10179269313812256,0.19505441188812256,0.6049492359161377,0.3190497159957886,1248363.0,32049.0
24,0.907393753528595,0.9012994766235352,469767.0,2687973.0,0.2527611553668976,0.11712108552455902,0.10027599334716797,0.19727158546447754,0.5844020247459412,0.31666386127471924,25738492.0,660573.0,0.915619432926178,0.8998875021934509,21171.0,132083.0,0.2320968061685562,0.11623457819223404,0.10184349119663239,0.1940753012895584,0.6003813147544861,0.31912925839424133,1248539.0,31807.0
25,0.9076311588287354,0.9013106822967529,468816.0,2688696.0,0.25216442346572876,0.1170438602566719,0.10031675547361374,0.19745688140392303,0.5852434039115906,0.3167282044887543,25737762.0,661524.0,0.9165122509002686,0.9010777473449707,20750.0,132248.0,0.22992515563964844,0.11588478833436966,0.10176291316747665,0.19594347476959229,0.6083279848098755,0.31900304555892944,1248374.0,32228.0
26,0.9082314968109131,0.9014937281608582,466693.0,2688438.0,0.25081291794776917,0.1169196143746376,0.10029467195272446,0.1979803591966629,0.5871215462684631,0.31669333577156067,25738024.0,663647.0,0.9164062738418579,0.9005295634269714,20715.0,132245.0,0.22900009155273438,0.1158791333436966,0.1017247885465622,0.19611811637878418,0.6089886426925659,0.31894320249557495,1248377.0,32263.0
27,0.9085032343864441,0.9020196795463562,463855.0,2688916.0,0.24930746853351593,0.11675789207220078,0.10011084377765656,0.19863051176071167,0.5896323323249817,0.31640297174453735,25737544.0,666485.0,0.916607141494751,0.9008522629737854,20738.0,132239.0,0.2294462025165558,0.11579381674528122,0.10176768898963928,0.19601286947727203,0.608554482460022,0.31901052594184875,1248383.0,32240.0
28,0.9090399742126465,0.9018343091011047,462608.0,2689648.0,0.24852150678634644,0.11668652296066284,0.10035689175128937,0.19888484477996826,0.5907355546951294,0.3167915344238281,25736808.0,667732.0,0.9170535802841187,0.9008023142814636,20662.0,132154.0,0.22799238562583923,0.11589817702770233,0.10170003771781921,0.19648568332195282,0.6099890470504761,0.3189045190811157,1248468.0,32316.0
29,0.9095014333724976,0.9019197821617126,459680.0,2690077.0,0.24733653664588928,0.11654863506555557,0.10032957792282104,0.19955742359161377,0.5933259129524231,0.3167484402656555,25736384.0,670660.0,0.9167187213897705,0.9007534384727478,20600.0,132159.0,0.22693806886672974,0.11576995998620987,0.10163382440805435,0.19678248465061188,0.6111593246459961,0.31880059838294983,1248463.0,32378.0
30,0.909791886806488,0.9023080468177795,459016.0,2689214.0,0.24634473025798798,0.11646786332130432,0.1002475842833519,0.1997668296098709,0.5939133167266846,0.31661897897720337,25737242.0,671324.0,0.9171651601791382,0.9016692042350769,20407.0,132304.0,0.22695156931877136,0.115371473133564,0.10162301361560822,0.19754965603351593,0.614802360534668,0.31878361105918884,1248318.0,32571.0
31,0.9100931286811829,0.9025360345840454,456607.0,2689649.0,0.24543774127960205,0.11636722087860107,0.10016219317913055,0.20031414926052094,0.5960445404052734,0.31648409366607666,25736812.0,673733.0,0.9178348183631897,0.901174008846283,20263.0,132360.0,0.2264433056116104,0.1154511570930481,0.1016029492020607,0.19818264245986938,0.6175204515457153,0.3187521696090698,1248262.0,32715.0
32,0.9104068279266357,0.9022768139839172,455584.0,2690423.0,0.24498631060123444,0.11633098125457764,0.10028906911611557,0.200511172413826,0.596949577331543,0.3166844844818115,25736038.0,674756.0,0.9170591235160828,0.901070773601532,20230.0,132540.0,0.2271241992712021,0.11529795825481415,0.10166429728269577,0.1981269121170044,0.6181433796882629,0.3188484311103821,1248082.0,32748.0
